Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,US_State,Abbreviation
20001211X11043,Accident,FTW98FA380,1998-09-11,"HOUSTON, TX",United States,29.607222,-95.158611,EFD,Ellington Field,Non-Fatal,Substantial,,N316UP,Boeing,767-34AF,No,2.0,Turbo Jet,,NSCH,,,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,26-02-2007,,
20001211X11573,Accident,LAX99FA051,1998-12-17,"LOS ANGELES, CA",United States,33.948611,-118.413611,LAX,Los Angeles International,Non-Fatal,Substantial,,N554CL,Learjet,55B,No,2.0,Turbo Fan,,NSCH,Unknown,Clay Lacy (dba: Clay Lacy Aviation),0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,25-11-2003,,
20001205X00119,Incident,ANC99IA027,1999-02-05,"FAIRBANKS, AK",United States,64.8,-147.866111,FAI,Fairbanks International,Incident,,,N934AS,Mcdonnell Douglas,MD-82,No,2.0,Turbo Fan,,SCHD,,"Alaska Air Group, Inc (dba: Alaska Airlines)",0.0,0.0,0.0,138.0,IMC,Takeoff,Probable Cause,01-07-2002,,
20001212X18855,Accident,NYC99FAMS3,1999-05-06,"PLYMOUTH, MA",United States,41.908889,-70.728611,,,Fatal(1),Destroyed,,N8235Z,Piper,PA28RT-201T,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,30-03-2004,,
20001212X19310,Accident,LAX99MA251,1999-07-13,"MINDEN, NV",United States,38.981667,-119.672778,,,Fatal(2),Destroyed,,N807BB,Schempp-hirth,NIMBUS 4DM,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-09-2002,,
20001212X19975,Accident,LAX00FA017,1999-10-15,"Ventura, CA",United States,34.294444,-119.335555,,,Fatal(2),Destroyed,,N5169B,Cessna,152,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-11-2003,,
20001212X20136,Accident,MIA00FA030,1999-11-27,"PHILADELPHIA, MS",United States,32.784444,-88.926111,,,Fatal(2),Destroyed,,N8144M,Bell,212,No,1.0,Turbo Shaft,,,Positioning,,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,06-12-2002,,
20001212X20258,Accident,LAX00FA061,1999-12-28,"AVALON, CA",United States,33.416389,-118.465278,,,Non-Fatal,Destroyed,,N3593S,Aerospatiale,AS-350D,No,1.0,Turbo Shaft,,,Other Work Use,,0.0,1.0,6.0,0.0,VMC,Maneuvering,Probable Cause,23-10-2002,,
20001212X20387,Accident,LAX00LA071,2000-01-04,"CHANDLER, AZ",United States,33.266667,-111.8,,Memorial,Non-Fatal,Substantial,,N89678,Rotorway,Exec 90,Yes,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,25-11-2003,,
20001212X20391,Accident,LAX00LA076,2000-01-18,"BRAWLEY, CA",United States,32.0,-115.0,,,Non-Fatal,Substantial,,N436SD,Bell,OH-58C,No,1.0,Turbo Shaft,,,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,06-12-2002,,
20001212X20536,Accident,MIA00LA091,2000-02-09,"MONROE, GA",United States,33.7825,-83.692777,D73,Monroe-Walton County,Non-Fatal,Substantial,,N101ET,Beech,F90,No,2.0,Turbo Prop,,,Business,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,30-09-2003,,
20001212X20507,Incident,LAX00IA106,2000-02-21,"FRESNO, CA",United States,36.575,-119.091666,KFAT,Fresno-Yosemite International,Incident,,,N566SW,Embraer,120,No,2.0,Turbo Prop,,SCHD,Unknown,,0.0,0.0,0.0,20.0,VMC,Cruise,Probable Cause,28-04-2004,,
20001212X20667,Accident,LAX00LA116,2000-03-07,"WASCO, CA",United States,35.616667,-119.35,,,Non-Fatal,Substantial,,N1354X,Bell,47G-4A,No,1.0,Reciprocating,,,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,18-04-2003,,
20001212X20573,Incident,ANC00IA034,2000-03-07,"FAIRBANKS, AK",United States,64.8,-147.866111,FAI,Fairbanks International,Incident,,,N949AS,Mcdonnell Douglas,MD-83,No,2.0,Turbo Fan,,SCHD,,Alaska Air Group (dba: Alaska Airlines),0.0,0.0,0.0,117.0,VMC,Takeoff,Probable Cause,01-07-2002,,
20001212X20657,Accident,LAX00FA123,2000-03-10,"ROUGH AND READY, CA",United States,39.366667,-121.25,,,Non-Fatal,Substantial,,N8351F,Boeing,369D,No,1.0,Turbo Shaft,,,Personal,,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,30-05-2006,,
20001212X20658,Accident,LAX00FA126,2000-03-11,"FALLBROOK, CA",United States,33.354167,-117.250833,L18,Fallbrook Community Airpark,Fatal(1),Substantial,,N95996,Cessna,182Q,No,1.0,Reciprocating,,,Personal,,1.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,25-11-2003,,
20001212X20664,Incident,LAX00IA127,2000-03-13,"SAN FRANCISCO, CA",United States,37.620278,-122.38,SFO,SAN FRANCISCO INTL,Incident,Minor,,N516DA,Boeing,727-232,No,3.0,Turbo Fan,,SCHD,Unknown,"Delta Airlines, Inc.",0.0,0.0,0.0,77.0,VMC,Takeoff,Probable Cause,31-10-2006,,
20001212X20659,Accident,LAX00FA130,2000-03-19,"Snelling, CA",United States,37.486389,-120.350556,,,Fatal(1),Destroyed,,N415B,Bell,212,No,2.0,Turbo Shaft,,,Positioning,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,25-11-2003,,
20001212X20624,Accident,FTW00FA101,2000-03-21,"KILLEEN, TX",United States,31.085833,-97.686389,ILE,Killeen Municipal,Non-Fatal,Substantial,,N353SB,Saab,340B,No,2.0,Turbo Prop,,SCHD,,"American Eagle Airlines, Inc. (dba: American Eagle)",0.0,0.0,1.0,35.0,IMC,Landing,Probable Cause,03-06-2002,,
20001212X20660,Accident,LAX00FA134,2000-03-24,"RIALTO, CA",United States,34.118056,-117.383611,L67,Rialto Municipal,Fatal(1),Destroyed,,N8328Q,Robinson,R22 BETA,No,1.0,Reciprocating,,,Instructional,,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,25-11-2003,,
20001212X20689,Accident,MIA00FA118,2000-03-26,"Panama City, FL",United States,30.227778,-85.719723,KPFN,Panama City-Bay County Int'l,Fatal(1),Destroyed,,N9204P,Piper,PA-24-260,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,IMC,Descent,Probable Cause,15-04-2003,,
20001212X20830,Accident,IAD00LA031,2000-04-03,"SELINSGROVE, PA",United States,40.820556,-76.863889,SEG,Selinsgrove,Non-Fatal,Substantial,,N1923L,Beech,23,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,30-09-2003,,
20001212X20849,Accident,LAX00LA149,2000-04-11,"FRESNO, CA",United States,36.776111,-119.719167,FAT,Fresno Airport,Non-Fatal,Substantial,,N2500T,Piper,PA-38-112,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,06-12-2002,,
20001212X20834,Accident,LAX00FA151,2000-04-11,"Fullerton, CA",United States,33.866667,-117.966667,FUL,Fullerton Municipal,Fatal(1),Destroyed,,N6791P,Beech,B36TC,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,15-04-2003,,
20001212X20856,Accident,LAX00LA157,2000-04-16,"YREKA, CA",United States,42.0,-122.5,,,Non-Fatal,Substantial,,N1682U,Cessna,207,No,1.0,Turbo Prop,,,Personal,,0.0,0.0,2.0,0.0,IMC,Cruise,Probable Cause,17-04-2003,,
20001212X20843,Accident,LAX00GA158,2000-04-17,"RENO, NV",United States,39.667223,-119.876111,4SD,RENO/STEAD,Fatal(3),Destroyed,,N7046U,Grumman,US-2C,No,2.0,Reciprocating,,,Public Aircraft,,3.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,02-06-2004,,
20001212X20836,Accident,LAX00FA160,2000-04-18,"GRAND CANYON, AZ",United States,33.963611,-112.1425,GCN,GRAND CANYON NATIONAL PARK,Non-Fatal,Destroyed,,N2267N,Bell,206L-3,No,1.0,Turbo Shaft,,NSCH,,,0.0,6.0,1.0,0.0,VMC,Takeoff,Probable Cause,20-02-2002,,
20001212X21030,Accident,LAX00GA185,2000-05-05,"CHINA LAKE, CA",United States,35.666667,-117.666667,NID,China Lake,Non-Fatal,Substantial,,N32229,Beech,65-90,No,2.0,Turbo Prop,,,Public Aircraft,,0.0,1.0,0.0,3.0,VMC,Cruise,Probable Cause,25-11-2003,,
20001212X21036,Accident,LAX00LA188,2000-05-09,"MESA, AZ",United States,33.460833,-111.728334,FFZ,FALCON FIELD,Non-Fatal,Substantial,,N7648Q,Cessna,310Q,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-12-2004,,
20001212X21039,Accident,LAX00LA193,2000-05-10,"EUREKA, CA",United States,41.0,-124.0,,,Non-Fatal,Substantial,,N693CC,Sikorsky,S61A,No,2.0,Turbo Shaft,,,Other Work Use,,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,30-03-2004,,
20001212X21025,Accident,LAX00FA191,2000-05-10,"KAUNAKAKAI, HI",United States,21.127223,-157.149722,MKK,KAUNAKAKAI,Fatal(6),Destroyed,,N241H,Rockwell,NA-265-65,No,2.0,Turbo Fan,,,Executive/corporate,,6.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,25-07-2002,,
20001212X21065,Accident,MIA00LA150,2000-05-11,"PICAYUNE, MS",United States,30.527778,-89.706944,MS76,Picayune Municipal,Non-Fatal,Destroyed,,N5107G,Cessna,172H,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,30-09-2003,,
20001212X21067,Accident,MIA00LA152,2000-05-12,"FERNANDINA BCH, FL",United States,30.609444,-81.460556,55J,Fernandina Beach Municipal,Non-Fatal,Substantial,,N760WB,Piper,PA-18-150,No,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,0.0,VMC,Climb,Probable Cause,30-09-2003,,
20001212X21068,Accident,MIA00LA153,2000-05-14,"APEX, NC",United States,35.732778,-78.849722,,,Fatal(2),Substantial,,N45DR,Mclarty,VANS RV-4,Yes,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-09-2003,,
20001212X21043,Accident,LAX00LA197,2000-05-15,"SHOW LOW, AZ",United States,34.265278,-110.005556,SOW,Show Low Municipal,Non-Fatal,Substantial,,N5477D,Beech,H35,No,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,1.0,VMC,Approach,Probable Cause,06-12-2002,,
20001212X21052,Accident,LAX00LA211,2000-05-31,"LONG BEACH, CA",United States,33.817778,-118.151667,LBG,Long Beach,Non-Fatal,Substantial,,N6349W,Piper,PA-28-140,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,06-12-2002,,
20001212X21252,Accident,LAX00FA213,2000-06-01,"PRESCOTT VALLEY, AZ",United States,34.6,-112.25,,,Non-Fatal,Substantial,,N414PS,Cessna,414A,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,20-02-2003,,
20001212X21257,Accident,LAX00LA215,2000-06-04,"CARSON CITY, NV",United States,39.192222,-119.734444,CXP,CARSON CITY,Non-Fatal,Substantial,,N201CE,Mooney,M20J,No,1.0,Reciprocating,,,Personal,,0.0,4.0,0.0,0.0,VMC,Takeoff,Probable Cause,28-12-2004,,
20001212X21263,Accident,LAX00LA222,2000-06-08,"BAKER, CA",United States,35.043611,-116.193333,DAG,Barstow Dagget,Non-Fatal,Substantial,,N31M,Mooney,M20D,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,06-12-2002,,
20001212X21262,Accident,LAX00LA220,2000-06-10,"WELLINGTON, NV",United States,38.612778,-119.392222,,,Non-Fatal,Substantial,,N500XL,Sikorsky,HH-3F,No,2.0,Turbo Shaft,,,Personal,,0.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-03-2004,,
20001212X21255,Accident,LAX00FA231,2000-06-15,"SAN JOSE, CA",United States,37.231389,-121.665833,,,Fatal(1),Destroyed,,N8659V,Bellanca,8KCAB,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-11-2003,,
20001212X21534,Accident,MIA00LA196,2000-07-02,"SELMA, AL",United States,32.343889,-86.987777,,,Non-Fatal,Substantial,,N26937,Gulfstream American,AA5A,No,1.0,Reciprocating,,,Personal,,0.0,0.0,2.0,0.0,VMC,Climb,Probable Cause,30-09-2003,,
20001212X21348,Accident,ANC00FA082,2000-07-03,"WHITTIER, AK",United States,60.8,-148.25,,,Fatal(1),Destroyed,,N862SP,Cessna,172S,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,03-06-2002,,
20001212X21498,Accident,LAX00LA251,2000-07-06,"TUCSON, AZ",United States,32.115833,-110.940833,TUS,Tucson International,Non-Fatal,Substantial,,N2196T,Piper,PA-28-180,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,06-12-2002,,
20001212X21427,Accident,DEN00FA127,2000-07-08,"Aspen, CO",United States,39.24,-106.711667,,,Fatal(4),Destroyed,,N4377V,Cessna,195,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-07-2002,,
20001212X21503,Accident,LAX00LA257,2000-07-09,"WATSONVILLE, CA",United States,36.916667,-121.833333,,,Non-Fatal,Substantial,,N4426X,Interavia,E-3,No,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,25-11-2003,,
20001212X21351,Incident,ANC00IA088,2000-07-11,"ANCHORAGE, AK",United States,61.179445,-149.983333,ANC,ANCHORAGE INTL,Incident,,,N935AS,Mcdonnell Douglas,MD-82,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,107.0,VMC,Approach,Probable Cause,20-02-2002,,
20001212X21532,Accident,MIA00FA221,2000-07-17,"Hernando, MS",United States,34.747777,-90.081111,,,Fatal(1),Destroyed,,N158MT,Beech,58,No,2.0,Reciprocating,,NSCH,,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,23-07-2003,,
20001212X21525,Accident,LAX00MA273,2000-07-21,"KAHULUI, MAUI, HI",United States,20.871667,-156.581667,,,Fatal(7),Destroyed,,N510TG,Aerospatiale,AS 355F1,No,2.0,Turbo Shaft,,NSCH,Unknown,,7.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,09-04-2003,,
20001212X21429,Accident,DEN00FA141,2000-07-27,"Cheyenne, WY",United States,41.011667,-105.108889,,,Fatal(1),Destroyed,,N252KD,Mooney,M20K,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,25-07-2002,,
20001212X21522,Accident,LAX00LA282,2000-07-29,"Cottonwood, CA",United States,40.5,-122.5,PVT,Lake California Airpark,Non-Fatal,Destroyed,,N540EX,Daniel J. Lee,Express 90,Yes,1.0,Reciprocating,,,Personal,,0.0,3.0,0.0,0.0,VMC,Landing,Probable Cause,17-04-2003,,
20001212X21493,Accident,LAX00FA283,2000-07-30,"JACKPOT, NV",United States,41.982223,-114.663611,06U,Jackpot,Fatal(2),Destroyed,,N5853Q,Mooney,M20E,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,16-01-2003,,
20001212X21763,Accident,LAX00LA285,2000-08-01,"TRACY, CA",United States,37.831945,-121.403056,,,Fatal(1),Destroyed,,N6737K,Grumman,G-164B,No,1.0,Reciprocating,,,Aerial Application,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,18-04-2003,,
20001212X21765,Accident,LAX00LA288,2000-08-04,"STOCKTON, CA",United States,37.894444,-121.238611,SCK,Stockton Metropolitan,Non-Fatal,Substantial,,N39KH,Bell,47D,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,25-11-2003,,
20001212X21760,Accident,LAX00GA297,2000-08-13,"Cold Springs, NV",United States,39.566667,-117.815556,,,Fatal(1),Destroyed,,N174EH,Bell,412,No,2.0,Turbo Shaft,,,Public Aircraft,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,08-06-2005,,
20001212X21751,Accident,LAX00FA300,2000-08-14,"NEWBERRY SPRING, CA",United States,34.7925,-116.485833,,,Fatal(1),Destroyed,,N878R,Beech,K35,No,1.0,Reciprocating,,,Personal,,1.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,15-07-2002,,
20001212X21865,Accident,SEA00LA159,2000-08-15,"MCMINNVILLE, OR",United States,45.183333,-123.133333,MMV,MC MINNVILLE MUNI,Non-Fatal,Substantial,,N450UR,Boeing,E75,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-09-2003,,
20001212X21747,Accident,IAD00FA076,2000-08-18,"KENNEBUNKPORT, ME",United States,43.2,-70.233333,,,Fatal(2),Substantial,,N411JL,Piper,PA-32R-301,No,1.0,Reciprocating,,,Personal,,2.0,1.0,2.0,0.0,VMC,Cruise,Probable Cause,02-01-2002,,
20001212X21758,Accident,LAX00FA324,2000-08-22,"Scottsdale, AZ",United States,33.642777,-111.8175,P19,Stellar Airpark,Fatal(2),Destroyed,,N4905V,Bellanca,17-30,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,25-11-2003,,
20001212X21721,Accident,FTW00FA245,2000-08-24,"HUNT, TX",United States,30.0,-99.383611,ERV,Kerrville Municipal,Fatal(1),Destroyed,,N421NT,Cessna,421C,No,2.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,16-01-2003,,
20001212X21754,Accident,LAX00FA310,2000-08-25,"HILO, HI",United States,19.716667,-155.033333,KOA,Hilo International,Fatal(1),Substantial,,N923BA,Piper,PA-31-350,No,2.0,Reciprocating,,NSCH,Unknown,"Big Island Air, Inc. (dba: Big Island Air, Inc.)",1.0,0.0,8.0,0.0,VMC,Cruise,Probable Cause,17-04-2003,,
20001212X21741,Accident,IAD00LA070,2000-08-26,"WAYNESVILLE, OH",United States,39.505278,-84.121945,,Air Jordan Airport,Non-Fatal,Substantial,,N37SK,Jordan,KITFOX MODEL 1,Yes,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,30-09-2003,,
20001212X21740,Accident,IAD00FA079,2000-08-29,"JONESTOWN, PA",United States,40.403611,-76.225,8PA1,DEE JAY AIRPORT,Fatal(1),Destroyed,,N9436V,Mooney,M20F,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,23-01-2002,,
20001212X21997,Accident,LAX00FA322,2000-09-01,"SO. LAKE TAHOE, CA",United States,38.893889,-119.995277,TVL,South Lake Tahoe,Fatal(4),Destroyed,,N88AM,Piper,PA-46-310P,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,16-08-2002,,
20001212X22048,Accident,NYC00FA248,2000-09-03,"SOUTH KINGSTOWN, RI",United States,41.4375,-71.541944,,,Fatal(3),Destroyed,,N8230G,Piper,PA-32R-301,No,1.0,Reciprocating,,,Personal,,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,23-01-2002,,
20001212X22029,Accident,MIA00FA260,2000-09-04,"ODESSA, FL",United States,28.22,-82.623334,,,Fatal(1),Substantial,,N3WT,Beech,B-95,No,2.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,20-02-2002,,
20001212X22031,Accident,MIA00GA264,2000-09-07,"WAYNESVILLE, NC",United States,35.438055,-83.060556,,,Fatal(2),Destroyed,,N525BM,Bell,UH-1H,No,1.0,Turbo Shaft,,,Positioning,,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,04-06-2002,,
20001212X21902,Accident,ANC00MA125,2000-09-18,"NUIQSUT, AK",United States,70.205556,-151.019167,PAQT,NUIQSUT,Fatal(5),Destroyed,,N220CS,Piper,PA-31T3,No,2.0,Turbo Prop,,SCHD,,Cape Smythe Air Service Inc.,5.0,5.0,0.0,0.0,VMC,Landing,Probable Cause,18-06-2002,,
20001212X21881,Accident,ANC00FA128,2000-09-20,"ANIAK, AK",United States,61.040277,-157.173056,,FORTY SEVEN MILE CREEK,Fatal(1),Destroyed,,N42472,Cessna,207,No,1.0,Reciprocating,,NSCH,Unknown,,1.0,0.0,0.0,0.0,,Climb,Probable Cause,03-06-2002,,
20001212X22020,Accident,LAX00LA348,2000-09-25,"IONE, CA",United States,38.255,-120.933333,PVT,Howard Private Airport,Non-Fatal,Destroyed,,N37820,Culver,LFA,No,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,06-12-2002,,
20001212X22175,Accident,LAX01FA001,2000-10-01,"SAN JUAN BATIST, CA",United States,36.828334,-121.576389,,,Fatal(4),Destroyed,,N36TV,Beech,A36TC,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,IMC,Descent,Probable Cause,02-06-2004,,
20001212X22176,Accident,LAX01FA003,2000-10-04,"SANTA ROSA, CA",United States,38.513056,-122.862222,STS,Sonoma County,Fatal(1),Destroyed,,N2373D,Cessna,182S,No,1.0,Reciprocating,,,Business,,1.0,0.0,0.0,0.0,IMC,Climb,Probable Cause,02-03-2004,,
20001212X22227,Accident,NYC01FA005,2000-10-06,"Edgartown, MA",United States,41.411111,-70.416667,MVY,Vineyard Haven Airport,Fatal(4),Destroyed,,N60BT,Mitsubishi,MU-2B-26A,No,2.0,Turbo Prop,,,Personal,,4.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,07-02-2002,,
20030627X00968,Accident,CHI01LA003,2000-10-08,"NOBLESVILLE, IN",United States,40.083889,-86.034722,,,Non-Fatal,Substantial,,N8907X,Cessna,182,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,30-09-2003,,
20001212X22228,Accident,NYC01FA007,2000-10-10,"WASH. CT. HOUSE, OH",United States,35.585,-83.408889,I23,FAYETTE COUNTY,Fatal(1),Destroyed,,N2067C,Beech,E18S,No,2.0,Reciprocating,,,Positioning,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,03-06-2002,,
20001212X22135,Accident,CHI01MA006,2000-10-10,"Wichita, KS",United States,37.65,-97.433056,ICT,Wichita Mid-Continent,Fatal(2),Destroyed,,CFTBZ,Canadair,CL600-2B16,No,2.0,Turbo Fan,,,Flight Test,,2.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,13-04-2004,,
